time,open,high,low,close,Volume
1695043800,178.85,178.85,178.48,178.62,47406
1695044700,178.63,178.82,178.45,178.49,28117
1695045600,178.48,178.62,178.38,178.62,26042
1695046500,178.63,178.85,178.625,178.72,28902
1695047400,178.73,178.84,178.7,178.8,22547
1695048300,178.81,178.82,178.685,178.78,11568
1695049200,178.77,178.83,178.72,178.77,40266
1695050100,178.76,178.87,178.75,178.87,59335
1695051000,178.87,178.94,178.78,178.939,53094
1695051900,178.94,179.02,178.93,178.97,148827
1695052800,179.0,179.09,178.86,178.93,132401
1695053700,178.93,179.015,178.91,179.0,20703
1695054600,179.0,179.13,179.0,179.12,14341
1695055500,179.12,179.18,179.11,179.18,39424
1695056400,179.18,179.27,179.17,179.27,36155
1695057300,179.27,179.33,179.24,179.25,37271
1695058200,179.25,179.34,179.22,179.34,9594
1695059100,179.32,179.395,179.27,179.27,50152
1695060000,179.26,179.27,179.18,179.22,13737
1695060900,179.22,179.22,179.18,179.195,7620
1695061800,179.21,179.25,179.21,179.23,14843
1695062700,179.225,179.26,179.21,179.21,9911
1695063600,179.22,179.25,179.21,179.225,10582
1695064500,179.23,179.26,179.22,179.225,5563
1695065400,179.24,179.29,179.21,179.285,18076
1695066300,179.29,179.41,179.28,179.37,216953
1695130200,179.52,179.59,179.32,179.49,85583
1695131100,179.5,179.64,179.49,179.49,32027
1695132000,179.48,179.53,179.24,179.25,48792
1695132900,179.24,179.32,179.14,179.19,48338
1695133800,179.2,179.53,179.17,179.53,15715
1695134700,179.53,179.55,179.43,179.5,12754
1695135600,179.51,179.52,179.4,179.42,74210
1695136500,179.41,179.45,179.33,179.38,19292
1695137400,179.37,179.37,179.25,179.34,11315
1695138300,179.33,179.38,179.3,179.36,7739
1695139200,179.35,179.4,179.31,179.37,7344
1695140100,179.37,179.41,179.34,179.34,3568
1695141000,179.335,179.335,179.18,179.18,8344
1695141900,179.18,179.22,179.14,179.15,7701
1695142800,179.14,179.21,179.12,179.16,7668
1695143700,179.17,179.295,179.16,179.295,10537
1695144600,179.3,179.33,179.22,179.22,3104
1695145500,179.22,179.23,179.11,179.135,7437
1695146400,179.13,179.13,179.08,179.11,14406
